group,EF_tCO2e_total,population,per_capita_tCO2e
CN,959757919.6086185,1412175000.0,0.6796310086275558
GN,854747747.8095918,1105306830.0,0.7733126446071014
GS,677201457.3504277,2249788616.0,0.3010067046007436
